"DATE OF CONTACT","TIME OF CONTACT","INCIDENT NUMBER","STEP INDICATOR","GEO CODE","ANONYMOUS HOUSE NUMBER","ADDRESS STREET","CROSS STREET","MOTIVATION FOR STOP DESC","RACE DESCRIPTION","SEX DESCRIPTION","AGE AT CONTACT","RESIDENCY CODE","REASON FOR STOP","TYPE OF VIOLATION","CRIME CATEGORY","CRIME CATEGORY DESCRIPTION","CRIME CODE","CRIME DESCRIPTION","CRIME STATUS DESCRIPTION","VEHICLE YEAR","VEHICLE CONSENT SEARCH REQUESTED","VEHICLE CONSENT SEARCH GRANTED","PARAPHRENALIA FOUND VEHICLE CONSENT SEARCH","ALCOHOL FOUND VEHICLE CONSENT SEARCH","WEAPON FOUND VEHICLE CONSENT SEARCH","STOLEN PROPERTY FOUND VEHICLE CONSENT SEARCH","OTHER CONTRABAND FOUND VEHICLE CONSENT SEARCH","DRUG AMOUNT FOUND VEHICLE CONSENT SEARCH","CANINE SNIFF PERFORMED","CANINE ALERTED","CANINE SEARCH CONDUCTED","PARAPHRENALIA FOUND CANINE SEARCH","ALCOHOL FOUND CANINE SEARCH","WEAPON FOUND CANINE SEARCH","STOLEN PROPERTY FOUND CANINE SEARCH","OTHER CONTRABAND FOUND CANINE SEARCH","DRUG AMOUNT FOUND CANINE SEARCH","ANY CONTRABAND FOUND IN VEHICLE CONSENT OR CANINE SEARCH","CONSENT OR DOG SNIFF SEARCH CONDUCTED","MAPPING ADDRESS"
"2013 Jan 01 12:00:00 AM","02:50","UU1300001","NOT STEP","547-08","400","UNIVERSITY AV E",,,"WHITE","FEMALE","30","Y","EQUIPMENT","NOT A MOVING VIOLATION","C28","Traffic Offenses","6630","DRIVING WITHOUT LIGHTS","TRAFFIC WARNING TICKET","2000","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","400 UNIVERSITY AV E"
"2013 Jan 01 12:00:00 AM","02:50","UU1300001","NOT STEP","547-08","400","UNIVERSITY AV E",,,"WHITE","FEMALE","30","Y","EQUIPMENT","NOT A MOVING VIOLATION","C41","Assist Other Agency/Business","9081","ASSIST TOW TRUCK","ADMINISTRATIVELY CLOSED","2000","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","400 UNIVERSITY AV E"
"2013 Jan 01 12:00:00 AM","02:50","UU1300001","NOT STEP","547-08","400","UNIVERSITY AV E",,,"WHITE","FEMALE","30","Y","EQUIPMENT","NOT A MOVING VIOLATION","C28","Traffic Offenses","2461","OPERATE UNINSURED MOTOR VEHICLE","CLEARED BY ADULT ARREST","2000","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","400 UNIVERSITY AV E"
"2013 Jan 01 12:00:00 AM","02:50","UU1300001","NOT STEP","547-08","400","UNIVERSITY AV E",,,"WHITE","FEMALE","30","Y","EQUIPMENT","NOT A MOVING VIOLATION","C28","Traffic Offenses","6608","IMPROPER LANE USAGE","CLEARED BY ADULT ARREST","2000","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","400 UNIVERSITY AV E"
"2013 Jan 01 12:00:00 AM","02:50","UU1300001","NOT STEP","547-08","400","UNIVERSITY AV E",,,"WHITE","FEMALE","30","Y","EQUIPMENT","NOT A MOVING VIOLATION","C28","Traffic Offenses","2470","NO VALID DL DRIVERS LICENSE","CLEARED BY ADULT ARREST","2000","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","400 UNIVERSITY AV E"
"2013 Jan 01 12:00:00 AM","19:30","UW1300001","NOT STEP","519-08","0","CUNNINGHAM","PERKINS",,"HISPANIC","MALE","23","Y","LICENSE PLATE/REG.","NOT A MOVING VIOLATION","C28","Traffic Offenses","6690","NO REAR REGISTRATION LIGHT","TRAFFIC WARNING TICKET","1997","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 CUNNINGHAM"
"2013 Jan 01 12:00:00 AM","20:23","UW1300002","NOT STEP","519-08","200","VINE ST S",,,"BLACK","FEMALE","47","Y","MOVING VIOLATION","OTHER","C28","Traffic Offenses","6614","FAILURE TO SIGNAL","TRAFFIC WARNING TICKET","2000","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","200 VINE ST S"
"2013 Jan 01 12:00:00 AM","20:51","UT1300010","NOT STEP","519-08","1600","CUNNINGHAM AVE N",,,"WHITE","MALE","18","N","MOVING VIOLATION","SPEED","C28","Traffic Offenses","6601","SPEEDING (RADAR)","CLEARED BY ADULT ARREST","1998","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","1600 CUNNINGHAM AVE N"
"2014 Jan 01 12:00:00 AM","02:10","UW1400001","NOT STEP","546-05","0","WASHINGTON","WRIGHT",,"BLACK","MALE","67","N","MOVING VIOLATION","TRAFFIC SIGN OR SIGNAL","C28","Traffic Offenses","6605","TRAFFIC SIGN VIOLATION","TRAFFIC WARNING TICKET","2010","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 WASHINGTON"
"2015 Jan 01 12:00:00 AM","20:35","UW1500002","NOT STEP","574-03","0","LINCOLN","GREEN",,"WHITE","FEMALE","23","N","MOVING VIOLATION","TRAFFIC SIGN OR SIGNAL","C28","Traffic Offenses","6606","TRAFFIC SIGNAL VIOLATION","TRAFFIC WARNING TICKET","2010","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 LINCOLN"
